title,eps,date,members,rating
Death Note,TV (37 eps),        Oct 2006 - Jun 2007,"        2,780,502 members",8.63
Shingeki no Kyojin,TV (25 eps),        Apr 2013 - Sep 2013,"        2,751,279 members",8.50
Fullmetal Alchemist: Brotherhood,TV (64 eps),        Apr 2009 - Jul 2010,"        2,388,188 members",9.18
Sword Art Online,TV (25 eps),        Jul 2012 - Dec 2012,"        2,344,643 members",7.23
One Punch Man,TV (12 eps),        Oct 2015 - Dec 2015,"        2,285,233 members",8.55
Boku no Hero Academia,TV (13 eps),        Apr 2016 - Jun 2016,"        2,114,584 members",8.05
Tokyo Ghoul,TV (12 eps),        Jul 2014 - Sep 2014,"        2,050,693 members",7.80
Naruto,TV (220 eps),        Oct 2002 - Feb 2007,"        1,986,735 members",7.92
Kimi no Na wa.,Movie (1 eps),        Aug 2016 - Aug 2016,"        1,883,518 members",8.93
Steins;Gate,TV (24 eps),        Apr 2011 - Sep 2011,"        1,882,151 members",9.11
No Game No Life,TV (12 eps),        Apr 2014 - Jun 2014,"        1,846,436 members",8.17
Hunter x Hunter (2011),TV (148 eps),        Oct 2011 - Sep 2014,"        1,845,810 members",9.08
Shingeki no Kyojin Season 2,TV (12 eps),        Apr 2017 - Jun 2017,"        1,779,914 members",8.47
Boku no Hero Academia 2nd Season,TV (25 eps),        Apr 2017 - Sep 2017,"        1,775,609 members",8.28
Code Geass: Hangyaku no Lelouch,TV (25 eps),        Oct 2006 - Jul 2007,"        1,675,662 members",8.71
Kimetsu no Yaiba,TV (26 eps),        Apr 2019 - Sep 2019,"        1,671,947 members",8.60
Naruto: Shippuuden,TV (500 eps),        Feb 2007 - Mar 2017,"        1,667,280 members",8.18
Toradora!,TV (25 eps),        Oct 2008 - Mar 2009,"        1,665,380 members",8.20
Angel Beats!,TV (13 eps),        Apr 2010 - Jun 2010,"        1,662,262 members",8.13
Noragami,TV (12 eps),        Jan 2014 - Mar 2014,"        1,631,681 members",7.99
Re:Zero kara Hajimeru Isekai Seikatsu,TV (25 eps),        Apr 2016 - Sep 2016,"        1,602,495 members",8.28
Mirai Nikki (TV),TV (26 eps),        Oct 2011 - Apr 2012,"        1,601,921 members",7.52
Shigatsu wa Kimi no Uso,TV (22 eps),        Oct 2014 - Mar 2015,"        1,567,918 members",8.72
Koe no Katachi,Movie (1 eps),        Sep 2016 - Sep 2016,"        1,521,137 members",8.99
Nanatsu no Taizai,TV (24 eps),        Oct 2014 - Mar 2015,"        1,517,309 members",7.83
Sword Art Online II,TV (24 eps),        Jul 2014 - Dec 2014,"        1,516,661 members",6.75
Akame ga Kill!,TV (24 eps),        Jul 2014 - Dec 2014,"        1,515,436 members",7.50
Ao no Exorcist,TV (25 eps),        Apr 2011 - Oct 2011,"        1,493,093 members",7.56
Boku no Hero Academia 3rd Season,TV (25 eps),        Apr 2018 - Sep 2018,"        1,492,937 members",8.20
Boku dake ga Inai Machi,TV (12 eps),        Jan 2016 - Mar 2016,"        1,484,208 members",8.35
One Piece,TV (? eps),        Oct 1999 - ,"        1,459,230 members",8.54
Shingeki no Kyojin Season 3,TV (12 eps),        Jul 2018 - Oct 2018,"        1,424,004 members",8.62
Kono Subarashii Sekai ni Shukufuku wo!,TV (10 eps),        Jan 2016 - Mar 2016,"        1,384,325 members",8.14
