title,eps,date,members,rating
Fruits Basket: The Final,TV (? eps),        Apr 2021 - ,"        128,692 members",8.77
Fumetsu no Anata e,TV (20 eps),        Apr 2021 - ,"        293,736 members",8.68
One Piece,TV (? eps),        Oct 1999 - ,"        1,459,230 members",8.54
Holo no Graffiti,ONA (? eps),        May 2019 - ,"        27,530 members",8.53
Vivy: Fluorite Eye's Song,TV (13 eps),        Apr 2021 - ,"        138,944 members",8.43
Kingdom 3rd Season,TV (? eps),        Apr 2020 - ,"        43,578 members",8.38
Yuukoku no Moriarty 2nd Season,TV (13 eps),        Apr 2021 - ,"        86,123 members",8.30
Nomad: Megalo Box 2,TV (13 eps),        Apr 2021 - ,"        98,342 members",8.25
Detective Conan,TV (? eps),        Jan 1996 - ,"        264,767 members",8.16
Fate/Grand Carnival,OVA (4 eps),        Dec 2020 - Aug 2021,"        21,057 members",8.12
86,TV (11 eps),        Apr 2021 - ,"        171,795 members",7.93
Douluo Dalu: Haishen Zhi Guang,ONA (? eps),        Feb 2021 - ,"        1,350 members",7.92
Tokyo Revengers,TV (? eps),        Apr 2021 - ,"        207,623 members",7.92
Wu Liuqi Zhi Xuanwu Guo Pian,ONA (10 eps),        Jan 2021 - May 2021,"        6,193 members",7.91
Mairimashita! Iruma-kun 2nd Season,TV (21 eps),        Apr 2021 - ,"        96,397 members",7.90
Hige wo Soru. Soshite Joshikousei wo Hirou.,TV (13 eps),        Apr 2021 - ,"        259,821 members",7.89
Mashiro no Oto,TV (12 eps),        Apr 2021 - ,"        70,081 members",7.80
Zombieland Saga: Revenge,TV (12 eps),        Apr 2021 - ,"        108,208 members",7.78
Odd Taxi,TV (13 eps),        Apr 2021 - ,"        46,453 members",7.76
Crayon Shin-chan,TV (? eps),        Apr 1992 - ,"        60,640 members",7.69
Super Cub,TV (? eps),        Apr 2021 - ,"        46,899 members",7.62
Boku no Hero Academia 5th Season,TV (25 eps),        Mar 2021 - ,"        488,063 members",7.59
Shadows House,TV (13 eps),        Apr 2021 - ,"        72,430 members",7.57
Tensura Nikki: Tensei shitara Slime Datta Ken,TV (12 eps),        Apr 2021 - ,"        146,705 members",7.55
Doraemon (2005),TV (? eps),        Apr 2005 - ,"        12,962 members",7.54
Shiguang Daili Ren,ONA (11 eps),        Apr 2021 - ,"        7,712 members",7.51
Bakuten!!,TV (12 eps),        Apr 2021 - ,"        42,263 members",7.51
Yi Nian Yong Heng,ONA (52 eps),        Aug 2020 - ,"        4,141 members",7.48
Fate/Grand Order,Special (? eps),        Dec 2014 - ,"        21,548 members",7.40
