title,eps,date,members,rating
Fullmetal Alchemist: Brotherhood,TV (64 eps),        Apr 2009 - Jul 2010,"        2,388,188 members",9.18
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),        Apr 2019 - Jul 2019,"        1,288,425 members",9.11
Steins;Gate,TV (24 eps),        Apr 2011 - Sep 2011,"        1,882,151 members",9.11
Gintama°,TV (51 eps),        Apr 2015 - Mar 2016,"        431,772 members",9.09
Hunter x Hunter (2011),TV (148 eps),        Oct 2011 - Sep 2014,"        1,845,810 members",9.08
Gintama',TV (51 eps),        Apr 2011 - Mar 2012,"        386,980 members",9.07
Ginga Eiyuu Densetsu,OVA (110 eps),        Jan 1988 - Mar 1997,"        240,726 members",9.06
Gintama': Enchousen,TV (13 eps),        Oct 2012 - Mar 2013,"        234,121 members",9.04
Shingeki no Kyojin: The Final Season,TV (16 eps),        Dec 2020 - Mar 2021,"        1,041,348 members",9.03
3-gatsu no Lion 2nd Season,TV (22 eps),        Oct 2017 - Mar 2018,"        287,713 members",8.99
Koe no Katachi,Movie (1 eps),        Sep 2016 - Sep 2016,"        1,521,137 members",8.99
Gintama.,TV (12 eps),        Jan 2017 - Mar 2017,"        216,630 members",8.98
Gintama,TV (201 eps),        Apr 2006 - Mar 2010,"        796,384 members",8.96
Clannad: After Story,TV (24 eps),        Oct 2008 - Mar 2009,"        950,668 members",8.95
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),        Jul 2013 - Jul 2013,"        178,143 members",8.95
Kimi no Na wa.,Movie (1 eps),        Aug 2016 - Aug 2016,"        1,883,518 members",8.93
Owarimonogatari 2nd Season,TV (7 eps),        Aug 2017 - Aug 2017,"        290,295 members",8.92
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),        Apr 2008 - Sep 2008,"        1,334,954 members",8.91
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),        Jul 2018 - Oct 2018,"        125,096 members",8.87
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),        Oct 2016 - Dec 2016,"        804,143 members",8.84
Mob Psycho 100 II,TV (13 eps),        Jan 2019 - Apr 2019,"        930,547 members",8.83
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),        Aug 2020 - Aug 2020,"        165,943 members",8.82
Gintama.: Shirogane no Tamashii-hen,TV (12 eps),        Jan 2018 - Mar 2018,"        138,233 members",8.81
Kizumonogatari III: Reiketsu-hen,Movie (1 eps),        Jan 2017 - Jan 2017,"        331,811 members",8.81
Sen to Chihiro no Kamikakushi,Movie (1 eps),        Jul 2001 - Jul 2001,"        1,331,793 members",8.81
Jujutsu Kaisen (TV),TV (24 eps),        Oct 2020 - Mar 2021,"        1,061,686 members",8.79
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),        Oct 2020 - Oct 2020,"        469,356 members",8.79
Gintama: The Final,Movie (1 eps),        Jan 2021 - Jan 2021,"        39,452 members",8.78
Monogatari Series: Second Season,TV (26 eps),        Jul 2013 - Dec 2013,"        531,485 members",8.78
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),        Jan 2017 - Mar 2017,"        147,194 members",8.78
Cowboy Bebop,TV (26 eps),        Apr 1998 - Apr 1999,"        1,324,054 members",8.77
Fruits Basket: The Final,TV (? eps),        Apr 2021 - ,"        128,692 members",8.77
Monster,TV (74 eps),        Apr 2004 - Sep 2005,"        662,260 members",8.77
Mushishi Zoku Shou 2nd Season,TV (10 eps),        Oct 2014 - Dec 2014,"        207,703 members",8.76
Hajime no Ippo,TV (75 eps),        Oct 2000 - Mar 2002,"        403,288 members",8.74
Made in Abyss,TV (13 eps),        Jul 2017 - Sep 2017,"        923,320 members",8.72
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),        Jan 2020 - Jan 2020,"        238,392 members",8.72
Mushishi Zoku Shou,TV (10 eps),        Apr 2014 - Jun 2014,"        236,672 members",8.72
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),        Feb 1999 - Sep 1999,"        233,615 members",8.72
Shigatsu wa Kimi no Uso,TV (22 eps),        Oct 2014 - Mar 2015,"        1,567,918 members",8.72
Violet Evergarden Movie,Movie (1 eps),        Sep 2020 - Sep 2020,"        231,976 members",8.72
Vinland Saga,TV (24 eps),        Jul 2019 - Dec 2019,"        767,002 members",8.71
Code Geass: Hangyaku no Lelouch,TV (25 eps),        Oct 2006 - Jul 2007,"        1,675,662 members",8.71
Mononoke Hime,Movie (1 eps),        Jul 1997 - Jul 1997,"        921,094 members",8.71
Great Teacher Onizuka,TV (43 eps),        Jun 1999 - Sep 2000,"        615,789 members",8.70
Haikyuu!! Second Season,TV (25 eps),        Oct 2015 - Mar 2016,"        965,157 members",8.70
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV (12 eps),        Apr 2020 - Jun 2020,"        758,522 members",8.70
Mushishi,TV (26 eps),        Oct 2005 - Jun 2006,"        644,742 members",8.69
Fumetsu no Anata e,TV (20 eps),        Apr 2021 - ,"        293,736 members",8.68
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),        Jun 2019 - Jun 2019,"        416,987 members",8.67
Natsume Yuujinchou Shi,TV (13 eps),        Jan 2012 - Mar 2012,"        199,394 members",8.66
Tengen Toppa Gurren Lagann,TV (27 eps),        Apr 2007 - Sep 2007,"        1,267,707 members",8.66
Ashita no Joe 2,TV (47 eps),        Oct 1980 - Aug 1981,"        32,294 members",8.66
