title,eps,date,members,rating
Tate no Yuusha no Nariagari Season 2,TV (? eps),        Oct 2021 - ,"        261,752 members",N/A
Shingeki no Kyojin: The Final Season Part 2,TV (? eps),        Jan 2022 - ,"        188,276 members",N/A
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season,TV (? eps),         - ,"        147,132 members",N/A
Kobayashi-san Chi no Maid Dragon S,TV (? eps),        Jul 2021 - ,"        138,188 members",N/A
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV (? eps),        Jul 2021 - ,"        137,999 members",N/A
Tate no Yuusha no Nariagari Season 3,TV (? eps),         - ,"        132,324 members",N/A
"Kanojo, Okarishimasu 2nd Season",TV (? eps),        2022 - ,"        117,440 members",N/A
Jujutsu Kaisen 0 Movie,Movie (1 eps),         - ,"        112,412 members",N/A
Kimetsu no Yaiba: Yuukaku-hen,TV (? eps),        2021 - ,"        111,025 members",N/A
Hataraku Maou-sama! 2nd Season,TV (? eps),         - ,"        107,101 members",N/A
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Unknown (? eps),         - ,"        101,301 members",N/A
Arifureta Shokugyou de Sekai Saikyou 2nd Season,TV (? eps),        Jan 2022 - ,"        97,094 members",N/A
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,Movie (1 eps),        2021 - 2021,"        96,992 members",N/A
Made in Abyss 2,Unknown (? eps),         - ,"        89,645 members",N/A
Chainsaw Man,TV (? eps),         - ,"        78,514 members",N/A
Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,TV (12 eps),        Jul 2021 - ,"        74,323 members",N/A
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,OVA (3 eps),        May 2021 - May 2021,"        72,706 members",N/A
Date A Live IV,TV (? eps),        Oct 2021 - ,"        69,168 members",N/A
Bleach: Sennen Kessen-hen,Unknown (? eps),         - ,"        66,901 members",N/A
Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie (1 eps),        Aug 2021 - Aug 2021,"        63,383 members",N/A
Yuri!!! on Ice The Movie: Ice Adolescence,Movie (1 eps),         - ,"        61,523 members",N/A
Goblin Slayer 2nd Season,TV (? eps),         - ,"        60,788 members",N/A
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",TV (? eps),         - ,"        59,110 members",N/A
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,TV (? eps),        2022 - ,"        58,463 members",N/A
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,TV (? eps),        Jul 2021 - ,"        57,326 members",N/A
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. II,TV (? eps),        2022 - ,"        54,430 members",N/A
Wonder Egg Priority Special,Special (1 eps),        Jun 2021 - Jun 2021,"        53,661 members",N/A
Uzaki-chan wa Asobitai! 2nd Season,TV (? eps),        Oct 2021 - ,"        51,956 members",N/A
Black Clover Movie,Movie (1 eps),         - ,"        48,817 members",N/A
Isekai Quartet 3,TV (? eps),         - ,"        46,792 members",N/A
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan OVA,OVA (1 eps),         - ,"        40,858 members",N/A
Tonikaku Kawaii OVA,OVA (1 eps),        Aug 2021 - Aug 2021,"        37,975 members",N/A
Mahouka Koukou no Yuutousei,TV (? eps),        Jul 2021 - ,"        37,319 members",N/A
Kyokou Suiri 2nd Season,TV (? eps),         - ,"        35,149 members",N/A
Free! Movie 4: The Final Stroke,Movie (1 eps),        Sep 2021 - Sep 2021,"        34,812 members",N/A
Uzumaki,TV (4 eps),        2021 - ,"        34,475 members",N/A
Mekakucity Reload,Unknown (? eps),         - ,"        33,511 members",N/A
Kantai Collection: KanColle Zoku-hen,Unknown (? eps),        2022 - ,"        32,878 members",N/A
Shuumatsu no Walküre,ONA (? eps),        Jun 2021 - ,"        32,563 members",N/A
Platinum End,TV (? eps),        Oct 2021 - ,"        31,827 members",N/A
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Movie (1 eps),        May 2021 - May 2021,"        30,462 members",N/A
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,TV (? eps),        Jul 2021 - ,"        30,302 members",N/A
5-toubun no Hanayome Movie,Movie (1 eps),        2022 - 2022,"        29,792 members",N/A
Princess Connect! Re:Dive Season 2,TV (? eps),         - ,"        28,373 members",N/A
Rikei ga Koi ni Ochita no de Shoumei shitemita. 2nd Season,TV (? eps),        2022 - ,"        27,852 members",N/A
Yuru Camp△ Movie,Movie (1 eps),        2022 - ,"        27,740 members",N/A
Genjitsu Shugi Yuusha no Oukoku Saikenki,TV (? eps),        Jul 2021 - ,"        27,681 members",N/A
Mahouka Koukou no Rettousei: Tsuioku-hen,Unknown (? eps),         - ,"        26,242 members",N/A
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV (? eps),         - ,"        25,250 members",N/A
Higurashi no Naku Koro ni Sotsu,TV (? eps),        Jul 2021 - ,"        24,147 members",N/A
"Tantei wa Mou, Shindeiru.",TV (? eps),        Jul 2021 - ,"        23,710 members",N/A
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Unknown (? eps),         - ,"        23,377 members",N/A
Ten Count,TV (? eps),         - ,"        23,023 members",N/A
Code Geass: Dakkan no Z,Unknown (? eps),         - ,"        21,667 members",N/A
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,OVA (3 eps),        Sep 2021 - ,"        20,135 members",N/A
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,Movie (1 eps),        Jul 2021 - Jul 2021,"        19,966 members",N/A
Heion Sedai no Idaten-tachi,TV (? eps),        Jul 2021 - ,"        19,829 members",N/A
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season,TV (? eps),         - ,"        19,625 members",N/A
Mo Dao Zu Shi 3rd Season,ONA (? eps),        2021 - ,"        19,469 members",N/A
Kanojo mo Kanojo,TV (? eps),        Jul 2021 - ,"        19,358 members",N/A
Gokushufudou 2nd Season,ONA (? eps),         - ,"        18,082 members",N/A
Sidonia no Kishi: Ai Tsumugu Hoshi,Movie (1 eps),        May 2021 - May 2021,"        17,857 members",N/A
World Trigger 3rd Season,TV (? eps),        Oct 2021 - ,"        17,717 members",N/A
Machikado Mazoku 2nd Season,TV (? eps),         - ,"        17,451 members",N/A
Cider no You ni Kotoba ga Wakiagaru,Movie (1 eps),        Jul 2021 - Jul 2021,"        17,085 members",N/A
Shuumatsu no Harem,TV (? eps),        2021 - ,"        16,220 members",N/A
Dr. Stone (Zoku-hen),Unknown (? eps),         - ,"        16,069 members",N/A
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Movie (1 eps),        2021 - 2021,"        15,731 members",N/A
Cyberpunk: Edgerunners,ONA (10 eps),        2022 - ,"        15,346 members",N/A
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shima",TV (? eps),        Jul 2021 - ,"        15,337 members",N/A
